site_name,catchment,catchment_confidence,merge_rule_applied,method_1_catchment,method_1_confidence,method_2_catchment,method_2_confidence,transmission_catchment,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags,notes
LaTrobe Valley BESS,GIP,medium,no_coord_m1_backstop,GIP,medium,,,GIP,Gippsland REZ corridor (Latrobe Valley 500 kV),Latrobe Valley,100.0,Storage - Battery,Other - Other,Tilt Renewables Australia Pty Ltd,,,,
Lincoln Gap Wind Farm stage 3,EYR,high,agree,EYR,medium,EYR,high,EYR,EYR,Lincoln Gap,277.2,Wind Turbine - Onshore,Wind - Wind,Lincoln Gap 3 Wind Farm Pty Ltd,,,,
Lismore BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Little River Solar Farm,SW-VIC,medium,no_coord_m1_backstop,SW-VIC,medium,,,SW-VIC,South-West Victoria REZ corridor (Mortlake/Moorabool/Heywood),Little River,,,,,,,,
Lovely Banks Renewable Energy Hub,SW-VIC,medium,boundary_swap_m1_med_close,WV,medium,SW-VIC,high,WV,Western Victoria REZ corridor (Bulgana/Ararat/WRL),Lovely Banks,,,,,,,,
Loy Yang BESS,GIP,high,agree,GIP,high,GIP,high,GIP,Gippsland REZ corridor (Latrobe Valley 500 kV),Loy Yang,,,,,,,,
Lubeck Wind Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Mansfield Solar Farm,CN-VIC,medium,no_coord_m1_backstop,CN-VIC,medium,,,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Mansfield,,,,,,,,
Melbourne Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Melton Renewable Energy Hub,WV,high,excluded_m1,Unclassified,review,WV,high,Unclassified,No rule matched — manual review needed,,,,,,,,,
Meredith Wind Farm,WV,medium,no_coord_m1_backstop,WV,medium,,,WV,Western Victoria REZ corridor (Bulgana/Ararat/WRL),Meredith,,,,,,,,
Monaro Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
